297,9,116,0.33276
298,10,116,0.33595
299,111,116,0.34416
300,112,116,0.47197
301,113,116,0.36257
302,114,116,0.322
303,115,116,0.28633
304,99,117,0.4137
305,102,117,0.38904
306,103,117,0.37859
307,104,117,0.38529
308,105,117,0.34851
309,106,117,0.39998
310,107,117,0.37048
311,109,117,0.3765
312,110,117,0.35033
313,99,118,0.40226
314,102,118,0.36788
315,103,118,0.29284
316,104,118,0.30676
317,106,118,0.25573
318,107,118,0.25779
319,109,118,0.40115
320,110,118,0.35872
321,117,118,0.14252
322,9,119,0.37747
323,10,119,0.36969
324,111,119,0.3739
325,9,120,0.36674
326,10,120,0.36115
327,111,120,0.36788
328,119,120,0.50675
329,113,121,0.35473
330,119,121,0.36788
331,120,121,0.3556
332,34,122,0.3418
333,54,122,0.33812
334,56,122,0.32225
335,96,122,0.35562
336,120,122,0.32939
337,59,123,0.24288
338,9,124,0.37539
339,10,124,0.36788
340,111,124,0.37174
341,119,124,0.86501
342,120,124,0.51511
343,121,124,0.36371
344,14,125,0.04568
345,65,125,0.27364
346,77,126,0.34925
347,88,126,0.3019
348,58,127,0.3055
349,71,127,0.31097
350,23,128,0.38153
351,91,128,0.31751
352,108,128,0.1262
353,129,130,0.51724
354,129,131,0.61994
355,130,131,0.8321
356,129,132,0.81449
357,130,132,0.58331
358,131,132,0.69441
359,77,134,0.1863
360,129,135,0.42767
361,130,135,0.40462
362,131,135,0.41129
363,132,135,0.4163
364,77,136,0.31071
365,88,136,0.29692
366,129,136,0.30059
367,130,136,0.31111
368,131,136,0.30933
369,132,136,0.29944
370,135,136,0.20981
371,77,137,0.20996
372,134,137,0.20179
373,136,137,0.21014
374,21,138,0.36061
375,22,138,0.13776
376,50,138,0.35869
377,74,138,0.3625
378,77,138,0.12871
379,88,138,0.33729
380,134,138,0.098015
381,135,138,0.33809
382,136,138,0.14144
383,137,138,0.18887
384,22,139,0.36905
385,138,139,0.36788
386,129,140,0.47496
387,130,140,0.91798
388,131,140,0.76821
389,132,140,0.53533
390,135,140,0.40341
391,136,140,0.31332
392,129,141,0.42541
393,130,141,0.40797
394,131,141,0.41233
395,132,141,0.42271
396,135,141,0.26591
397,136,141,0.12626
398,140,141,0.40612
399,142,143,0.30018
400,52,144,0.18654
401,61,144,0.14487
402,72,144,0.4745
403,73,144,0.45386
404,20,145,0.31242
405,22,145,0.34624
406,27,145,0.42717
407,28,145,0.32348
408,40,145,0.36251
409,41,145,0.36788
410,49,145,0.24881
411,55,145,0.39678
412,57,145,0.35671
413,60,145,0.36591
414,63,145,0.36282
415,64,145,0.35629
416,65,145,0.3776
417,91,145,0.35455
418,99,145,0.33574
419,103,145,0.30952
420,104,145,0.31347
421,106,145,0.32388
422,107,145,0.30216
423,113,145,0.36825
424,117,145,0.31542
425,118,145,0.36854
426,119,145,0.36059
427,120,145,0.36387
428,124,145,0.36119
429,125,145,0.28864
430,128,145,0.32057
431,15,146,0.25979
432,20,146,0.33349
433,26,146,0.17176
434,27,146,0.14319
435,28,146,0.26898
436,29,146,0.26304
437,54,146,0.33045
438,55,146,0.13668
439,62,146,0.35979
440,63,146,0.13431
441,65,146,0.12129
442,125,146,0.25749
443,145,146,0.40589
444,27,147,0.33345
445,28,147,0.35367
446,40,147,0.38271
447,55,147,0.35698
448,63,147,0.1369
449,125,147,0.28027
450,145,147,0.47402
451,146,147,0.17503
452,23,148,0.32495
453,59,148,0.33984
454,71,148,0.13333
455,91,148,0.39181
456,108,148,0.28413
457,23,149,0.138
458,59,149,0.31666
459,71,149,0.11202
460,108,149,0.3228
461,148,149,0.1872
462,42,150,0.2827
463,0,151,0.22253
464,32,151,0.12714
465,38,152,0.85535
466,53,152,0.36788
467,42,153,0.3441
468,150,153,0.15203
469,0,154,0.36194
470,32,154,0.33534
471,126,154,0.26527
472,151,154,0.29213
473,16,155,0.42555
474,113,155,0.14811
475,119,155,0.36225
476,121,155,0.42917
477,145,155,0.34297
478,32,156,0.39284
479,151,156,0.075268
480,154,156,0.095267
481,42,157,0.20058
482,150,157,0.27023
483,153,157,0.10587
484,0,158,0.34844
485,32,158,0.20515
486,126,158,0.14287
487,151,158,0.24228
488,154,158,0.37262
489,156,158,0.3062
490,32,160,0.33576
491,52,160,0.33375
492,156,160,0.18424
493,161,162,0.71468
494,161,163,0.12708
495,162,163,0.10443
496,161,164,0.40593
497,162,164,0.39948
498,163,164,0.11919
499,161,165,0.34905
500,162,165,0.25321
501,163,165,0.26115
